77,79,69,68,95
62,76,76,69,68
50,97,87,50,75
68,77,95,76,61
98,54,59,95,86
52,109,93,52,76
64,85,82,73,69
54,107,92,54,76
64,108,64,54,93
86,76,74,74,103
107,54,64,103,94
103,60,63,102,93
64,82,82,75,69
93,54,74,103,69
63,82,81,78,69
82,79,75,75,82
59,131,103,54,86
56,124,108,56,85
85,67,111,65,72
114,83,65,114,102
93,82,79,79,90
105,52,75,113,78
69,118,74,66,101
71,123,64,59,102
88,94,81,79,91
83,99,89,74,91
69,133,74,54,101
128,53,74,117,105
74,123,69,61,101
79,93,118,90,72
51,115,110,51,84
69,93,93,81,79
100,53,86,112,78
88,69,108,71,77
93,84,75,84,112
79,86,110,93,73
87,72,112,63,71
65,128,79,56,101
91,66,110,69,71
93,79,74,92,90
59,118,108,63,85
65,103,90,80,79
87,89,76,89,111
93,85,79,85,91
93,94,79,79,113
74,130,74,53,101
118,59,69,119,97
101,61,76,113,78
88,99,79,83,114
74,87,87,79,79
148,59,104,208,119
93,89,74,89,93
79,103,68,103,85
76,92,111,90,71
94,140,89,118,92
108,109,89,89,143
98,89,133,79,79
84,118,102,94,90
138,74,79,143,118
74,109,103,89,88
118,104,94,94,118
94,128,89,128,99
64,155,118,64,97
84,108,138,103,79
108,109,94,99,138
89,108,128,116,81
103,79,148,74,79
103,109,99,89,108
108,99,94,94,138
108,109,104,79,133
138,59,84,138,128
79,143,113,69,109
84,153,79,64,113
74,148,118,64,104
74,153,118,59,99
118,64,101,133,92
69,153,113,59,99
123,68,89,128,90
99,104,128,64,78
124,59,84,143,88
84,131,128,93,81
113,64,89,141,86
118,64,99,134,88
89,143,84,64,118
98,89,133,69,79
98,104,109,91,101
84,143,74,74,133
123,64,93,148,90
84,113,141,98,81
59,148,125,59,97
143,69,79,143,123
94,133,84,125,97
84,108,113,93,90
84,138,89,69,123
84,108,133,98,81
99,84,138,69,83
113,94,84,109,128
148,64,74,138,128
84,138,113,64,114
98,79,138,79,79
133,84,84,133,118
79,113,106,87,88
113,104,84,94,148
69,138,113,79,99
83,103,98,99,90
69,143,123,71,97
118,94,99,99,143
74,133,99,74,113
115,94,163,109,92
123,124,109,114,168
94,133,157,133,95
104,123,163,128,89
99,198,89,74,153
113,148,99,148,110
94,163,99,94,153
133,104,119,129,133
163,69,94,188,143
74,158,158,74,119
123,124,109,129,143
94,137,148,113,100
123,129,139,99,143
89,163,99,79,143
81,173,143,79,122
135,84,158,139,92
108,113,133,114,100
138,119,119,124,158
128,122,134,109,120
79,203,153,69,119
84,150,128,104,102
148,69,104,173,138
133,124,119,124,168
89,128,148,111,102
79,183,133,70,113
96,113,113,99,97
84,161,153,84,116
109,135,158,123,92
133,74,114,175,102
133,139,124,109,128
128,124,114,111,126
97,123,108,119,111
123,104,104,134,153
113,89,168,89,89
109,148,94,133,119
165,64,94,173,97
93,123,123,124,100
143,98,119,163,105
89,158,89,89,158
113,111,153,84,97
138,86,114,158,102
79,158,148,69,119
84,178,138,87,116
84,168,148,80,113
84,173,143,69,110
104,130,178,118,92
99,123,153,128,103
93,128,118,119,100
128,119,104,119,173
94,178,109,69,143
148,69,104,168,114
113,114,109,119,143
153,74,94,163,158
139,163,114,203,139
163,99,94,158,143
89,178,89,79,153
79,183,104,69,148
168,69,84,198,133
128,158,183,158,130
129,188,109,104,198
178,74,114,198,129
143,139,139,139,148
114,198,124,114,153
105,158,143,129,133
120,193,104,148,138
98,193,163,99,140
148,174,129,129,153
183,104,164,193,153
99,203,129,94,158
139,178,139,163,144
90,188,163,109,138
163,84,129,193,139
88,178,178,89,140
114,144,213,133,128
143,124,208,134,124
188,94,104,208,158
99,228,104,84,163
178,94,114,188,173
119,198,149,114,168
114,203,109,84,158
99,193,158,99,144
153,139,154,154,183
162,94,144,198,135
132,149,139,119,144
104,193,114,99,173
99,183,128,114,129
178,89,154,198,183
114,243,104,79,173
133,183,114,183,140
148,149,154,149,148
114,213,129,94,178
188,124,114,183,188
153,159,129,139,218
114,153,178,138,124
184,84,129,233,133
84,193,188,80,138
178,129,104,183,163
114,163,163,148,124
132,94,178,109,120
93,183,178,89,140
137,104,173,109,130
153,74,114,188,129
128,114,168,124,124
114,228,119,99,168
178,89,114,203,139
173,84,99,193,158
168,89,124,183,129
83,198,163,84,140
144,173,134,173,149
198,64,89,203,153
114,208,114,119,168
114,183,114,109,178
114,173,183,128,124
128,134,188,89,124
143,154,129,129,178
128,163,173,133,130
148,99,139,168,129
83,218,163,74,140
120,168,158,144,133
203,99,104,223,173
143,139,119,139,203
153,144,139,144,193
147,144,129,149,144
188,74,109,213,168
158,154,154,154,153
104,208,168,134,144
139,153,193,158,134
84,247,168,109,140
173,89,124,233,158
93,119,99,89,138
124,168,208,148,124
114,158,178,158,124
188,94,94,223,153
114,238,124,104,178
94,188,148,99,139
129,318,94,89,188
139,148,129,129,168
114,228,104,84,168
124,178,104,158,174
133,149,139,144,213
143,149,139,159,143
